Conference with Student|Συνεδρία με μαθητή|Colloquio con lo studente|Reunião com o aluno 
Contingency contracting|Σχέδιο έκτακτης ανάγκης|Contrattazione delle contingenze|Contrato de contingências
Individualized Instruction|Προσωπικές οδηγίες|Piano didattico personalizzato|Ensino individualizado
Loss of Privilege|Απώλεια προνομίου|Perdita di privilegi|Perda de privilégios
Parent Contact|Επικοινωνία Γονέα|Convocazione genitori|Contacto com os pais
School Suspension|Αναστολή σχολείου|Sospensioni scolastiche|Suspensão da escola
Time-out|Διάλειμμα|Time-out|Pausa/Time-out
Other|Άλλο|Altro|Outro
