Receive Social Attention|Αποσπά Κοινωνική Προσοχή|Ricevere attenzione sociale|Receber atenção social
Obtain a tangible item or gain access to a desired activity|Αποκτά ένα απτό αντικείμενο ή αποκτά πρόσβαση σε μια επιθυμητή δραστηριότητα|Ottenere un oggetto tangibile o accedere ad un'attività desiderata.|Obter um item tangível ou aceder a uma atividade desejada
Escape or Avoid|Διαφυγή ή Αποφυγή|Fuggire o evitare|Fugir ou evitar
Get sensory stimulation|Λάβετε αισθητηριακή διέγερση|Avere stimolazione sensoriale o autostimolazione|Obter estimulação sensorial
