Toddlers / Preschoolers (0 to 6)|Βρέφη/Νήπια (0 εως 6)|Bambini in età prescolare (0-6 anni)|Bebés/Crianças em idade pré-escolar ( dos 0 aos 6)
Children (6 to 10)|Παιδιά (6 εως 10)|Bambini (6-10 anni)|Crianças (dos 6 aos 10)
Preteens / Tweens (11 to 13)|Προέφηβοι/...... (11 εως 13)|Preadolescenti (11-13 anni)|Pré-adolescentes (dos 11 aos 13)
Adolescents / Teenagers (14 to 19)|Έφηβοι (15 εως 19)|Adolescenti (14-19 anni)|Adolescentes (dos 14 aos 19)
Adults|Ενήλικες|Adulti|Adultos
Seniors|Ηλικιωμένοι|Anziani|Idosos
